gene_id	string_protein_id	propagate_score
GRIN1	9606.ENSP00000360608	5.98799838400748e-05
CATSPER4	9606.ENSP00000390423	2.419869311243004e-05
RYR1	9606.ENSP00000352608	6.348398646152571e-05
CACNA1S	9606.ENSP00000355192	7.131296548434125e-05
CACNG1	9606.ENSP00000226021	3.50245573987336e-05
CATSPER3	9606.ENSP00000282611	2.7429517895165305e-05
CACNA1D	9606.ENSP00000288139	0.00010503041893761545
CATSPERD	9606.ENSP00000371037	2.419869311243004e-05
CATSPER1	9606.ENSP00000309052	2.586796378323836e-05
GRIA3	9606.ENSP00000481554	4.397280201508749e-05
OLFM2	9606.ENSP00000264833	1.7944291939078905e-05
CNIH2	9606.ENSP00000310003	2.5768128429537084e-05
GRIA1	9606.ENSP00000428994	8.234822915708861e-05
CACNA1C	9606.ENSP00000266376	0.00012581503859884587
CACNB4	9606.ENSP00000438949	4.581596840873497e-05
CATSPERE	9606.ENSP00000355492	2.4198693112430044e-05
EFCAB9	9606.ENSP00000381247	2.4198693112430044e-05
SHISA7	9606.ENSP00000365503	3.226091484201616e-06
HTR3A	9606.ENSP00000347754	3.1999395587018515e-05
GRIN2C	9606.ENSP00000293190	4.096599650439319e-05
CACNG5	9606.ENSP00000436836	2.752644819655554e-05
CAMK2B	9606.ENSP00000379098	0.00010626788294413435
SHISA9	9606.ENSP00000454014	2.2968500049930765e-05
SHISA6	9606.ENSP00000390084	4.286951381143931e-06
CATSPERZ	9606.ENSP00000491717	2.4198693112430044e-05
TMEM262	9606.ENSP00000432459	2.4198693112430044e-05
GRIN3A	9606.ENSP00000355155	2.5994231041176925e-05
CACNG8	9606.ENSP00000270458	5.4467317064852806e-05
CACNG4	9606.ENSP00000262138	4.575689065838753e-05
GRIN3B	9606.ENSP00000234389	2.0039374572837932e-05
CATSPERB	9606.ENSP00000256343	2.4198693112430044e-05
FKBP1A	9606.ENSP00000383003	9.526550455683325e-05
CAMK2A	9606.ENSP00000500386	0.00014395721782937295
CACNA1A	9606.ENSP00000489829	6.17086034221386e-05
STAC3	9606.ENSP00000329200	2.582056769676583e-05
CACNA2D4	9606.ENSP00000372169	2.8647643673359495e-05
